Seq 0 , 2.00
Seq 1 , 3.00
Seq 143 , 1.26ms, Time Mon Mar  7 09:58:44 2016

Seq 144 , 1.44ms, Time Mon Mar  7 09:58:45 2016

Seq 145 , 1.25ms, Time Mon Mar  7 09:58:46 2016

Seq 146 , 1.24ms, Time Mon Mar  7 09:58:47 2016

Seq 147 , 1.21ms, Time Mon Mar  7 09:58:48 2016

Seq 148 , 1.26ms, Time Mon Mar  7 09:58:49 2016

Seq 149 , 1.44ms, Time Mon Mar  7 09:58:50 2016

Seq 150 , 1.26ms, Time Mon Mar  7 09:58:51 2016

Seq 151 , 1.25ms, Time Mon Mar  7 09:58:52 2016

Seq 152 , 1.25ms, Time Mon Mar  7 09:58:53 2016

Seq 153 , 1.32ms, Time Mon Mar  7 09:58:54 2016

Seq 154 , 1.22ms, Time Mon Mar  7 09:58:55 2016

Seq 155 , 1.37ms, Time Mon Mar  7 09:58:56 2016

Seq 156 , 1.31ms, Time Mon Mar  7 09:58:57 2016

Seq 157 , 1.21ms, Time Mon Mar  7 09:58:58 2016

Seq 158 , 1.23ms, Time Mon Mar  7 09:58:59 2016

Seq 159 , 1.21ms, Time Mon Mar  7 09:59:00 2016

Seq 160 , 1.27ms, Time Mon Mar  7 09:59:01 2016

Seq 161 , 1.31ms, Time Mon Mar  7 09:59:02 2016

Seq 162 , 1.29ms, Time Mon Mar  7 09:59:03 2016

Seq 163 , 1.33ms, Time Mon Mar  7 09:59:04 2016

Seq 164 , 1.33ms, Time Mon Mar  7 09:59:05 2016

Seq 165 , 1.27ms, Time Mon Mar  7 09:59:06 2016

Seq 166 , 1.25ms, Time Mon Mar  7 09:59:08 2016

Seq 167 , 1.61ms, Time Mon Mar  7 09:59:09 2016

Seq 168 , 1.29ms, Time Mon Mar  7 09:59:10 2016

Seq 169 , 1.24ms, Time Mon Mar  7 09:59:11 2016

Seq 170 , 1.27ms, Time Mon Mar  7 09:59:12 2016

Seq 171 , 1.23ms, Time Mon Mar  7 09:59:13 2016

Seq 172 , 1.30ms, Time Mon Mar  7 09:59:14 2016

Seq 173 , 1.47ms, Time Mon Mar  7 09:59:15 2016

Seq 174 , 1.29ms, Time Mon Mar  7 09:59:16 2016

Seq 175 , 1.22ms, Time Mon Mar  7 09:59:17 2016

Seq 176 , 1.25ms, Time Mon Mar  7 09:59:18 2016

Seq 177 , 1.24ms, Time Mon Mar  7 09:59:19 2016

Seq 178 , 1.26ms, Time Mon Mar  7 09:59:20 2016

Seq 179 , 1.45ms, Time Mon Mar  7 09:59:21 2016

Seq 180 , 1.26ms, Time Mon Mar  7 09:59:22 2016

Seq 181 , 1.41ms, Time Mon Mar  7 09:59:23 2016

Seq 182 , 1.24ms, Time Mon Mar  7 09:59:24 2016

Seq 183 , 1.32ms, Time Mon Mar  7 09:59:25 2016

Seq 184 , 1.30ms, Time Mon Mar  7 09:59:26 2016

Seq 185 , 1.44ms, Time Mon Mar  7 09:59:27 2016

Seq 186 , 1.29ms, Time Mon Mar  7 09:59:28 2016

Seq 187 , 1.23ms, Time Mon Mar  7 09:59:29 2016

Seq 188 , 1.25ms, Time Mon Mar  7 09:59:30 2016

Seq 189 , 1.26ms, Time Mon Mar  7 09:59:31 2016

Seq 190 , 1.27ms, Time Mon Mar  7 09:59:32 2016

Seq 191 , 1.24ms, Time Mon Mar  7 09:59:33 2016

Seq 192 , 1.23ms, Time Mon Mar  7 09:59:34 2016

Seq 193 , 1.34ms, Time Mon Mar  7 09:59:35 2016

Seq 194 , 1.25ms, Time Mon Mar  7 09:59:36 2016

Seq 195 , 1.25ms, Time Mon Mar  7 09:59:37 2016

Seq 196 , 1.24ms, Time Mon Mar  7 09:59:38 2016

Seq 197 , 1.42ms, Time Mon Mar  7 09:59:39 2016

Seq 198 , 1.28ms, Time Mon Mar  7 09:59:40 2016

Seq 199 , 1.25ms, Time Mon Mar  7 09:59:41 2016

Seq 200 , 1.24ms, Time Mon Mar  7 09:59:42 2016

Seq 201 , 1.24ms, Time Mon Mar  7 09:59:43 2016

Seq 202 , 1.20ms, Time Mon Mar  7 09:59:44 2016

Seq 203 , 1.56ms, Time Mon Mar  7 09:59:45 2016

Seq 204 , 1.26ms, Time Mon Mar  7 09:59:46 2016

Seq 205 , 1.25ms, Time Mon Mar  7 09:59:47 2016

Seq 206 , 1.29ms, Time Mon Mar  7 09:59:48 2016

Seq 207 , 1.26ms, Time Mon Mar  7 09:59:49 2016

Seq 208 , 1.27ms, Time Mon Mar  7 09:59:50 2016

Seq 209 , 1.44ms, Time Mon Mar  7 09:59:51 2016

Seq 210 , 1.31ms, Time Mon Mar  7 09:59:52 2016

Seq 211 , 1.23ms, Time Mon Mar  7 09:59:53 2016

Seq 212 , 1.33ms, Time Mon Mar  7 09:59:54 2016

Seq 213 , 1.22ms, Time Mon Mar  7 09:59:55 2016

Seq 214 , 1.24ms, Time Mon Mar  7 09:59:56 2016

Seq 215 , 1.47ms, Time Mon Mar  7 09:59:57 2016

Seq 216 , 1.26ms, Time Mon Mar  7 09:59:58 2016

Seq 217 , 1.22ms, Time Mon Mar  7 09:59:59 2016

Seq 218 , 1.23ms, Time Mon Mar  7 10:00:00 2016

Seq 219 , 1.29ms, Time Mon Mar  7 10:00:01 2016

Seq 220 , 1.23ms, Time Mon Mar  7 10:00:02 2016

Seq 221 , 1.25ms, Time Mon Mar  7 10:00:03 2016

Seq 222 , 1.23ms, Time Mon Mar  7 10:00:04 2016

Seq 223 , 1.34ms, Time Mon Mar  7 10:00:05 2016

Seq 224 , 1.26ms, Time Mon Mar  7 10:00:06 2016

Seq 225 , 1.24ms, Time Mon Mar  7 10:00:07 2016

Seq 226 , 1.28ms, Time Mon Mar  7 10:00:08 2016

Seq 227 , 1.46ms, Time Mon Mar  7 10:00:09 2016

Seq 228 , 1.23ms, Time Mon Mar  7 10:00:10 2016

Seq 229 , 1.24ms, Time Mon Mar  7 10:00:11 2016

Seq 230 , 1.34ms, Time Mon Mar  7 10:00:12 2016

Seq 231 , 1.23ms, Time Mon Mar  7 10:00:13 2016

Seq 232 , 1.24ms, Time Mon Mar  7 10:00:14 2016

Seq 233 , 1.32ms, Time Mon Mar  7 10:00:15 2016

Seq 234 , 1.23ms, Time Mon Mar  7 10:00:16 2016

Seq 235 , 1.25ms, Time Mon Mar  7 10:00:17 2016

Seq 236 , 1.24ms, Time Mon Mar  7 10:00:18 2016

Seq 237 , 1.24ms, Time Mon Mar  7 10:00:19 2016

Seq 238 , 1.27ms, Time Mon Mar  7 10:00:20 2016

Seq 239 , 1.54ms, Time Mon Mar  7 10:00:21 2016

Seq 240 , 1.41ms, Time Mon Mar  7 10:00:22 2016

Seq 241 , 1.28ms, Time Mon Mar  7 10:00:23 2016

Seq 242 , 1.31ms, Time Mon Mar  7 10:00:24 2016

Seq 243 , 1.32ms, Time Mon Mar  7 10:00:25 2016

Seq 244 , 1.25ms, Time Mon Mar  7 10:00:26 2016

Seq 245 , 1.53ms, Time Mon Mar  7 10:00:27 2016

Seq 246 , 1.24ms, Time Mon Mar  7 10:00:28 2016

Seq 247 , 1.29ms, Time Mon Mar  7 10:00:29 2016

Seq 248 , 1.28ms, Time Mon Mar  7 10:00:30 2016

Seq 249 , 1.29ms, Time Mon Mar  7 10:00:31 2016

Seq 250 , 1.24ms, Time Mon Mar  7 10:00:32 2016

Seq 251 , 1.26ms, Time Mon Mar  7 10:00:33 2016

Seq 252 , 1.29ms, Time Mon Mar  7 10:00:34 2016

Seq 253 , 1.24ms, Time Mon Mar  7 10:00:35 2016

Seq 254 , 1.23ms, Time Mon Mar  7 10:00:36 2016

Seq 255 , 1.22ms, Time Mon Mar  7 10:00:37 2016

Seq 256 , 1.24ms, Time Mon Mar  7 10:00:38 2016

Seq 257 , 1.41ms, Time Mon Mar  7 10:00:39 2016

Seq 258 , 1.23ms, Time Mon Mar  7 10:00:40 2016

Seq 259 , 1.23ms, Time Mon Mar  7 10:00:41 2016

Seq 260 , 1.26ms, Time Mon Mar  7 10:00:42 2016

Seq 261 , 1.23ms, Time Mon Mar  7 10:00:43 2016

